,tanggal,sentiment,topic,text
0,9/24/2021,netral,jadwalrute,rute kereta yang mana saja
1,9/24/2021,netral,syarat,sore min kalo kereta pemberangkatan besok jam 1935 dan mau antigen hari ini jam 1600 masih bisa berlaku tidak
2,9/24/2021,netral,syarat,halo kalo mau naik kereta tapi belum vaksin dikarenakan ada komorbid berat bisa tidak ya atau harus menggunakan transportasi lain
3,9/24/2021,netral,syarat,mohon info rapid test antigen di stasiun cirebon prujakan
4,9/24/2021,netral,lain,railmin boleh tolong dibalas dm saya saya telp call center tidak bisa
5,9/24/2021,netral,lain,halo min cek dm ya makasih
6,9/24/2021,netral,lain,selamat sore admin boleh cek dm terima kasih
7,9/24/2021,netral,lain,iya tidak sengaja itu kak
8,9/24/2021,netral,syarat,selamat sore min mau nanya apakah rapid antigen di stasiun semarang tawang untuk hari minggu buka karena saya naik gumarang besok malam ke jakarta setelah saya tes cpns
9,9/24/2021,netral,lain,oh ya masa samaan baiklah kita kembaran ya nanti
10,9/24/2021,netral,lain,ga dibales
11,9/24/2021,netral,lain,biasanya kalau gini yang satu mau perawatan atau pulang dipo gitu bukan sih
12,9/24/2021,netral,jadwalrute,mau tanya ini untuk semua rute atau tidak yah
13,9/24/2021,netral,jadwalrute,hai rute alternatif dari stasiun pekalongan yogyakarta untuk minggu ini gimana ya min karena joglosemarkerto belum beroperasi kan
14,9/24/2021,netral,aturan,min emang masih ada larangan foto pakai dslr di kereta dan stasiun min bukannya sudah diperbolehkan sosialisasi ke pkd nya gimana sih nih saya barusan dilarang foto dari dalam kereta padahal saya moto pemandangan di luar kereta aneh banget
15,9/24/2021,netral,syarat,dear mimin yang baik hati saya mau banyak nanya nih kayaknya kalo berkenan mohon dijawab kebingungan ini 1 tes antigen di stasiun tegal hari minggu buka dari jam berapa ya 2 krl solo yogyakarta paling pagi jam berapa ya sama syaratnya cuma vaksin kan ya tidak pakai strp
16,9/24/2021,netral,lain,mohon maaf atas kendala yang terjadi kami sarankan bapak ibu informasikan melalui dm atau hubungi halo bca via wa langsung 6281271071154 untuk dibantu lebih lanjut karena membutuhkan verifikasi data terima kasih
17,9/24/2021,positif,pelayanan,sekarang waktu tempuhnya jauh lebih cepat ketimbang sebelumnya udah mantap ini ketimbang kemarin kemarin berharap saya bisa naik kereta api lagi sekaligus nyobain pelayanan barunya
18,9/24/2021,netral,syarat,halo rapid di stasiun purwokerto sampai jam berapa ya min
19,9/24/2021,positif,pelayanan,saya akui untuk teknologi digital dan pelayanan perbankan sangat baik untuk pelayanan jasa angkutan umum saya akui paling baik maju terus
20,9/24/2021,positif,pelayanan,selama 76 tahun kai berupaya memberikan pelayanan jasa transportasi kereta api terbaik cepat tanggap dalam situasi dan kondisi apapun bergerak maju mendukung bangsa indonesia lebih tangguh dan terus tumbuh melayani lebih cepat dan lebih baik hut 76 kai
21,9/24/2021,netral,syarat,min untuk swab test antigen di stasiun tugu yogyakarta buka dari jam berapa sampai jam berapa
22,9/24/2021,netral,lain,kiaracondong
23,9/24/2021,netral,ticketing,halo saya ingin memperbarui data nomor kartu identitas saya tapi tiap saya ubah selalu gagal dan muncul keterangan seperti ini saya juga sudah mencoba mengubah lewat web kai tapi tetap gagal juga tolong solusinya segera karena saya jadi tidak bisa booking tiket
24,9/24/2021,netral,lain,tolong buka dm ya min terima kasih
25,9/24/2021,positif,lain,makin keren
26,9/24/2021,netral,experience,min tolong dibantu untuk diinfokan ke masinis dan kru kereta bahwa kereta 1406 tujuan cikarang saat ini sangat bising dan terjadi berulang ulang kali terima kasih
27,9/24/2021,negatif,syarat,kebanyakan syarat tanda tanda menuju kebangkrutan terus diambil alih perusahaan asing
28,9/24/2021,netral,lain,halo min cek dm ya terima kasih
29,9/24/2021,netral,pelayanan,mimin kalau naik kereta tidak di perbolehkan bawa hewan kan dan harus menggunakan jasa kereta logistik tapi nanti kereta logistik nya berangkat dan sampai waktu nya bareng sama kereta yang aku tumpangi tidak ya
30,9/24/2021,netral,jadwalrute,min kalo ka lodaya dari bandung untuk tanggal 28 atau 29 september available kah
31,9/24/2021,netral,syarat,kalau seritfikat vaksin belum keluar gimana ya min
32,9/24/2021,netral,ticketing,selamat siang rute purwokerto semarang poncol tiketnya bisa dipesen kapan ya
33,9/24/2021,netral,ticketing,min boleh info apakah kereta bekasi bandung atau jakarta bandung tanggal 1 oktober beroperasi tiket bisa dipesan kapan terima kasih
34,9/24/2021,netral,lain,poncol dan pasar senen min
35,9/24/2021,netral,lain,terima kasih update infonya min
36,9/24/2021,netral,jadwalrute,min kereta joglosemarkerto kapan beroperasi lagi
37,9/24/2021,positif,lain,good job
38,9/24/2021,netral,lain,terima kasih admin
39,9/24/2021,netral,jadwalrute,min untuk semarang slawi pakai kereta apa ya terima kasih
40,9/24/2021,netral,lain,cek dm
41,9/24/2021,netral,syarat,oh ini yang tadinya bekas tempat test genose ya makasih mas
42,9/24/2021,netral,jadwalrute,min stasiun ka terdekat dengan desa ngemplak kandangan temanggung jawa tengah ada tidak kalau ada kapan jadwal keberangkatan dong plis oh iya keberangkatan dari senen ya min terima kasih
43,9/24/2021,netral,jadwalrute,halo min kereta joglosemarkerto mulai beroperasi lagi kapan ya terima kasih
44,9/24/2021,netral,syarat,bantu jawab pintu utara parkir mobil antigen di stasiun bekasi
45,9/24/2021,netral,jadwalrute,perdana naik kereta lokal merak setelah berbulan bulan di off kan
46,9/24/2021,netral,lain,open dm min
47,9/24/2021,netral,ticketing,mau tanya saya refund kok sudah hampir sebulan belum cair cari ya sedangkan teman saya cuma 3 hari sudah cair itu kenapa ya min
48,9/24/2021,netral,syarat,halo min apa test antigen di stasiun buka 24 jam
49,9/24/2021,netral,jadwalrute,min kereta krl solo yogyakarta beroperasi kah
50,9/24/2021,positif,pelayanan,akhirnya kembali naik ka lokal yang murah dan nyaman kangen banget loh
51,9/24/2021,netral,lain,wagub jabar ajak warga gunakan kereta api saat bepergian ini alasannya
52,9/24/2021,netral,lain,halo min minta tolong cek dm yah terima kasih
53,9/24/2021,netral,jadwalrute,untuk gambir jam operasional nya jam berapa ya
54,9/24/2021,netral,syarat,stasiun purwosari untuk jam rapid nya dari jam berapa jam berapa ya
55,9/24/2021,netral,lain,sebenarnya bisa aja lebih cepet cuman butuh kemauan dan disiplin saja kurangi waktu berhenti
56,9/24/2021,netral,syarat,jadwal tes rapid di stasiun surabaya gubeng apa tetap jam 6 sampai jam 18 min
57,9/24/2021,netral,pelayanan,ada nasi sei sapi yang enak sekarang
58,9/24/2021,netral,lain,oke min makasih infonya ya
59,9/24/2021,netral,lain,min dm ku belum dibales
60,9/24/2021,netral,syarat,mau tanya ada persyaratan khusus tidak buat naik kereta api lokal dari padalarang ke kiaracondong
61,9/24/2021,netral,jadwalrute,semoga turangga dan sancaka segera kebagian menjadi ka percepatan dan ikut menjadi jajaran kereta unggulan ya pak
62,9/24/2021,netral,lain,menu apa yang koko suka
63,9/24/2021,netral,lain,makasih min
64,9/24/2021,netral,syarat,pelayanan antigen di stasiun yogyakarta dari jam berapa sampai jam berapa ya
65,9/24/2021,netral,lain,min cek dm
66,9/24/2021,netral,aturan,apakah berlaku juga untuk kereta bandara soekarno hatta
67,9/24/2021,positif,lain,keren nih
68,9/24/2021,netral,jadwalrute,selamat siang min mohon informasi kereta purwokerto semarang kapan akan mulai beroperasi lagi ya terima kasih
69,9/24/2021,netral,lain,oke terima kasih kondisional ini maksudnya bisa buka jam 7 bisa lebih
70,9/24/2021,netral,jadwalrute,min kereta yang berangkat jam 2 siang dari bekasi ke cirebon ko tidak ada ya
71,9/24/2021,netral,jadwalrute,selamat siang min mau tanya sekarang ka bandara yia udah tidak sampai kebumen ya
72,9/24/2021,positif,lain,mantap semakin maju pt kai indonesia makin jaya dan sukses semua sdm makin memiliki jiwa melayani dengan profesional amin
73,9/24/2021,netral,pelayanan,saran min menu makan di perbaiki awal bulan kemaren perjalanan kediri gambir makan nasi goreng rasanya kurang mantap minggu ini rencana balik lagi sesuain harga ama rasamakasih
74,9/24/2021,netral,syarat,min pelayanan rapid antigen di stasiun kiaracondong dari jam berapa sampai jam berapa
75,9/24/2021,netral,ticketing,halo min website dan mobile aplikasi nya apakah bermasalah atau hanya di aku aja ya hiks
76,9/24/2021,netral,lain,min tolong cek dm ya
77,9/24/2021,netral,ticketing,min untuk pembatalan tiket ka di stasiun tawang apakah ada pelayanan di hari minggu terima kasih
78,9/24/2021,netral,aturan,susahnya naik kereta saat ini aturan berubah ubah tolong beri kenyamanan tanpa harus banyak aturan
79,9/24/2021,netral,syarat,hai kalau sudah vaksin 2 apakah tetap perlu antigen untuk naik kah
80,9/24/2021,netral,jadwalrute,halo min jadwal ka malabar malang ke bandung tanggal 1 oktober belum bisa diakses atau gimana ya min
81,9/24/2021,netral,ticketing,min kereta harina bandung pasarturi surabaya untuk 1 oktober belum bisa di pesen ya padahal dah kurang h7
82,9/24/2021,netral,jadwalrute,selamat siang mau tanya apakah ada jadwal keberangkatan kereta api sragen malang untuk tanggal 29 september 2021 terima kasih
83,9/24/2021,netral,lain,surabaya blitar bulan depan ya kak
84,9/24/2021,netral,jadwalrute,halo mimin kerata malabar tanggal 1 jalan apa tidak ya
85,9/24/2021,netral,lain,admin harap direspon dm nya ya makasih
86,9/24/2021,netral,lain,min tolong cek dm dong
87,9/24/2021,netral,lain,hai min tolong cek dm saya lagi terima kasih
88,9/24/2021,netral,lain,mimin kok saya tidak dibales bales
89,9/24/2021,netral,syarat,halo mimin info jam operasional swab di stasiun gambir senen dong buat hari sabtu sampai minggu terima kasih
90,9/24/2021,positif,fasilitas,mantap nih semoga jakarta sekarang cuman 5 jaman ada wifi on board juga yuk main ke jakarta semarang yuk
91,9/24/2021,netral,jadwalrute,min ka lokal jatiluhur sudah beroperasi lagi tidak ya
92,9/24/2021,netral,jadwalrute,admin untuk kereta bangunkarta apakah akan beroperasi lagi di bulan oktober ini
93,9/24/2021,netral,jadwalrute,siang min apa kereta api jurusan surabaya lawang sudah ada yang beroperasi mohon dijawab min
94,9/24/2021,netral,lain,hati hati bajer banyak
95,9/24/2021,positif,lain,benar benar excellent ya
96,9/24/2021,netral,aturan,kereta lokal udah bisa buat umum belum min
97,9/24/2021,netral,jadwalrute,misi mau nanya apa kereta taksaka yogyakarta gambir jadwal pemberangkatannya tetep sama terima kasih
98,9/24/2021,netral,syarat,vaksin min dosis pertama
99,9/24/2021,netral,syarat,min mohon info antigen di stasiun madiun sebelah mana ya dan dilayani jam berapa
100,9/24/2021,netral,lain,area stasiun tugu jalan pasar kembang no 01 patokan depan arte hotel pertigaan lampu merah pasar kembang deretan gudeg yu djum yogyakarta di nomor 081235774055081221703383 jam operasional senin sd sabtu jam 9 sampai 19 minggu libur nasional 9 sampai 15 terima kasih
