,Unnamed: 0,tanggal,sentiment,topic,text
0,0,9/24/2021,netral,jadwalrute,rute kereta mana saja
1,1,9/24/2021,netral,syarat,sore min kalo kereta pemberangkatan besok jam dan mau antigen ini jam masih bisa berlaku tidak
2,2,9/24/2021,netral,syarat,halo kalo mau naik kereta tapi belum vaksin dikarenakan ada komorbid berat bisa tidak ya atau harus menggunakan transportasi lain
3,3,9/24/2021,netral,syarat,mohon info rapid test antigen di stasiun cirebon prujakan
4,4,9/24/2021,netral,lain,railmin boleh tolong dibalas dm saya saya telp call center tidak bisa
5,5,9/24/2021,netral,lain,halo min cek dm ya makasih
6,6,9/24/2021,netral,lain,selamat sore admin boleh cek dm terima kasih
7,7,9/24/2021,netral,lain,iya tidak sengaja itu kak
8,8,9/24/2021,netral,syarat,selamat sore min mau nanya rapid antigen di stasiun semarang tawang untuk minggu buka saya naik gumarang besok malam jakarta setelah saya tes cpns
9,9,9/24/2021,netral,lain,oh ya masa samaan baiklah kembaran ya nanti
10,10,9/24/2021,netral,lain,ga dibales
11,11,9/24/2021,netral,lain,biasanya kalau gini satu mau perawatan atau pulang dipo gitu bukan sih
12,12,9/24/2021,netral,jadwalrute,mau tanya ini untuk semua rute atau tidak yah
13,13,9/24/2021,netral,jadwalrute,hai rute alternatif dari stasiun pekalongan yogyakarta untuk minggu ini gimana ya min joglosemarkerto belum beroperasi
14,14,9/24/2021,netral,aturan,min emang masih ada larangan foto pakai dslr di kereta dan stasiun min sudah diperbolehkan sosialisasi pkd nya gimana sih nih saya barusan dilarang foto dari dalam kereta padahal saya moto pemandangan di luar kereta aneh banget
15,15,9/24/2021,netral,syarat,dear mimin baik hati saya mau banyak nanya nih kayaknya kalo berkenan mohon kebingungan ini tes antigen di stasiun tegal minggu buka dari jam berapa ya krl solo yogyakarta pagi jam berapa ya sama syaratnya cuma vaksin ya tidak pakai strp
16,16,9/24/2021,netral,lain,mohon maaf atas kendala terjadi sarankan ibu informasikan dm atau hubungi halo bca via wa langsung untuk dibantu lebih lanjut membutuhkan verifikasi data terima kasih
17,17,9/24/2021,positif,pelayanan,sekarang waktu tempuhnya jauh lebih cepat ketimbang sebelumnya udah mantap ini ketimbang kemarin kemarin berharap saya bisa naik kereta api lagi nyobain pelayanan barunya
18,18,9/24/2021,netral,syarat,halo rapid di stasiun purwokerto sampai jam berapa ya min
19,19,9/24/2021,positif,pelayanan,saya akui untuk teknologi digital dan pelayanan perbankan sangat baik untuk pelayanan jasa angkutan umum saya akui baik maju terus
20,20,9/24/2021,positif,pelayanan,selama kai berupaya memberikan pelayanan jasa transportasi kereta api terbaik cepat tanggap dalam situasi dan kondisi apapun bergerak maju mendukung bangsa indonesia lebih tangguh dan terus tumbuh melayani lebih cepat dan lebih baik hut kai
21,21,9/24/2021,netral,syarat,min untuk swab test antigen di stasiun tugu yogyakarta buka dari jam berapa sampai jam berapa
22,22,9/24/2021,netral,lain,kiaracondong
23,23,9/24/2021,netral,ticketing,halo saya memperbarui data nomor kartu identitas saya tapi tiap saya ubah selalu gagal dan muncul keterangan seperti ini saya juga sudah mencoba mengubah lewat web kai tapi tetap gagal juga tolong solusinya segera saya jadi tidak bisa booking tiket
24,24,9/24/2021,netral,lain,tolong buka dm ya min terima kasih
25,25,9/24/2021,positif,lain,makin keren
26,26,9/24/2021,netral,experience,min tolong dibantu untuk diinfokan masinis dan kru kereta kereta tujuan cikarang saat ini sangat bising dan terjadi berulang ulang kali terima kasih
